Unique_ contact_lead_title,Unique_ title_seniority,Unique_ title_function
Head of Quality/ Quality Specialist.,,
Manufacturing Sustain Engineer,,
Quality Control Coordinator,,
Regional Commercial Operations Quality Systems Engineer (APAC),,
Asst IT Manager,,
IT Demand and Portfolio Analyst,,
Finance Manager,,
Senior CSV Consultant,,
"Manager, Logistics and Iso Management Representative",,
Document Controller,,
Head of Strategic Projects in TechOps at Alvotech,,
VP of People Operations,,
Senior General Manager-Central Quality,,
Directory Of Quality,,
"Group Vice President, Head Regulatory Affairs",,
"Senior Manager, Quality Assurance (Medical Device)",,
"VP Quality, Perspective Therapeutics",,
"QC Assistant, Job Clarification",,
Head of Business Transformation,,
Human Resources Business Partner,,
Sr. Quality Assurance & Regulatory Compliance Analyst,,
Pathology Quality Manager,,
"General Manager, Metallurgy and Quality",,
Sr. Head policy analyst,,
Nuclear Medicine Tech,,
Advanced Technical Support,,
MES Practice Lead,,
Deputy Project Manager,,
Manufacturing Engineer / eDHR Process Owner,,
She Compliance Project Lead,,
"Manager, Compliance and Systems",,
"Manager, Technical Commercial",,
CNC Programmer,,
Head of People and Culture,,
NPD Technologist,,
"Manager, Life Science Investments",,
"Director, Brm and Digital Solutions",,
"Senior Director, Project Management",,
"Manager, Business Intelligence System",,
Quality Design Engineer,,
HSEQ and IMS Manager,,
"Director, Quality Assurance & Quality Systems",,
"Group Head, Information Technology",,
Presales,,
"Manager, Formulation Development",,
"Senior Lead Development Representative, EMEA",,
"Director, Investments (US)",,
Document Control & Calaberation Lead,,
"Assistant VP, Compliance Training",,
Professional Member,,
Strategic Planner,,
Quality Head/ Manager,,
"Quality manager, Systems Manager",,
Senior Engineering Manager,,
Senior Quality Training Specialist,,
Manager Of Quality Unit Investigations,,
"Category Lead, Supply Chain",,
Licensing & Accreditation Specialist,,
"Manager, Training",,
SQL Developer,,
"Senior Manager, Compliance",,
OHS Representative,,
QMS Program Manager,,
"Manager, Environmental Health & Safety",,
Senior Whs Assurance Compliance Officer,,
Components Operation,,
Senior Principal Officer Quality Control and Quality Assurances,,
Automation Specialist,,
Sales Development Manager,,
Director of Food Safety and Quality,,
Web Developer,,
Director of Community Connections,,
Production Engineer,,
Senior Director of External Manufacturing,,
"Senior Manager, Ahm Learning and Development",,
"Clinical Director, Operating Room",,
"Director, Quality Improvement and Innovation",,
"Manager, Digital Systems",,
Global Quality Director,,
"Manager, Process Improvement",,
Technical Manager,,
Manager Regulatory Affairs,,
"Senior Director, Device Integrations And Tools",,
Quality Assurance Specialist I,,
Regional Ops Manager,,
Associate Supervisor Qc Data Analysis,,
Quality Secretary,,
MES Team Lead / Engineering Supervisor,,
"Director, Pre Construction",,
Business Manager NA,,
"Senior Manager, Engineered Solutions",,
Senior OE Engineer,,
Executive Operations Manager,,
Senior Scientist - Formulated Products,,
Automation CSV Manager,,
Interim Plant Manager/ Consultant,,
Process Engineer Manager,,
Quality Management Executive,,
Admin and Officer Finance,,
Training Team Manager,,
Quality Control & QA Regulatory Specialist,,
Ht QA Specialist,,
Administrative Assitant for QA,,
QA Assistant and Manager,,
"Senior Manager, Enterprise Applications",,
Senior Health and Safety Project Leader,,
Engineering & Design Services,,
Quality Assurance and Compliance Manager,,
Leitung Key Account Management,,
"Director, Information Technology Information Security",,
Lead Manufacturing Engineering Technician,,
"Position, Business Excellence and Quality Department",,
"Director, Enterprise Quality Assurance",,
Innovative Informatics,,
"Manager, Quality Assurance Engineering & Cx Lead",,
HSEQ Advisor,,
Project Manager GMP-Compliance,,
IT Senior Analyst,,
Portfolio Manager,,
Director of Human Resources.,,
Development Partner & Manager,,
QARA Associate,,
Assistant Coordinating Manager,,
Senior Manager of Clinical Operations,,
Quality Unit Support,,
"Manager, Site Safety, Lindfield and Ryde (North)",,
"Education and Research-Msh Manager, Performance Improvement",,
Associate Technical Director,,
"Senior Manager, Dea Compliance",,
MES Latam Lead / C&IS Manager,,
Carl Emery                        VP of Operations,,
"Project Manager, Quality Assurance",,
RA/QA Manager,,
Jr Project Coordinator,,
"Supervisor, Quality Assurance Team",,
Head of IT (CIO),,
"Manager, Information Technology Application",,
"Global Director, Quality Management Systems",,
Business Manager,,
Manufacturing Floor Lead,,
Training Co-Ordinator,,
"Manager, Application",,
"Director, Training",,
DX Consulting Manager,,
Senior Inspector pharmaceutical products,,
Associate Director of IT,,
Document Control Specialist (Left Company),,
Internal Consultant,,
PR Account Executive,,
Pathologist,,
Senior Regulatory Officer,,
"Partnerships Senior Director, Research (Account Management)",,
Materials Process Engineer I,,
"Manager, Supply Chain & Planning",,
"Senior Manager, Technical Support Engineering",,
Production Lead,,
Head of Process and Efficiency,,
"Regional Manager, Quality",,
Clinical Technology Project Lead,,
Business Operations Manager,,
Molecular Technologist II,,
Representative,,
Project Administrator,,
"Senior Manager, Western Hemisphere Product Engineering",,
Process Quality Engineer,,
"Division CEO, Sales (North America)",,
Head Enterprise Quality Petronas,,
Chief Product Officer and Technical Director,,
EHS,,
"Director, Regulatory Operations",,
"Senior Manager, Strategic Process",,
"Quality Director, Learning",,
Process Project Engineer,,
Supv-Quality Assurance,,
Environmental Health and Safety Coordinator,,
"Global Director, Quality Operations",,
"Global Director, Corporate Governance Lv",,
"Manager, Supply Chain",,
"Manager, Quality & Regulatory (North America)",,
"Temp, TEI Biosciences-Quality Projects-Global Ops-USA",,
Senior Product Owner,,
"Manager, Technical Support",,
Quality Manage,,
Network Development Executive,,
"Senior Vice President, Head of Research and Pre-Clinical, Chief CMC Officer",,
Technical Application Support Analyst,,
Clinical Project Officer,,
"Senior Vice President, Regulatory and Strategic Operations",,
"Senior Specialist, Industry 4.0",,
IT Director101 Bruce Street,,
Project Engineer,,
Key Supplier Operations Lead,,
Supplier Quality Engineer-ASQ-CQA,,
Professional Coach Consultant,,
QC Flow Cytometry Analyst II,,
Research Assistant,,
"Director, Manufacturing Engineering",,
Quality Management System Manager,,
"Graduate Researcher, Computational Robotics Laboratory",,
"Senior VP, Technical Operations",,
Project Planning Consultant,,
QA Department Assistant & Manager,,
Senior Director of Engineering and RA/QA,,
Senior Quality Manager - Supplier Assurance,,
"Director, Pv Intelligence and Change Management",,
RA/QA Associate,,
"Manager, Network Lab Quality and Regulatory",,
"Program Manager, Reigonal Food Safety",,
Indirect Procurement Specialist,,
Quality Control Officer,,
Principal Process Engineer,,
Quality Advisor,,
Owner and CEO,,
Associate Broker,,
"Director, People and Culture",,
"Senior Vice President, Clinical and Regulatory Affairs",,
Co-Founder,,
Automation Manager,,
Executive Director-IE,,
"Manager, Quality Process and Tra",,
Strategic Preparedness and Response Administrator,,
"Manager, Engineering",,
Loan Officer,,
"Senior Manager, QA NPI for Trauma and Extremities and Spine",,
Junior Manager,,
"Director, Product Management",,
Application Technology Support Senior Scientist,,
"Vice President, Product",,
"Senior Manager, Account Based Marketing (Abm)",,
Project Manager and Executive Assistant,,
Privacy Security Specialist,,
"Head General Manager, Digital",,
Control Systems Engineer APEX 1,,
"Vice President, Manufacturing Science & Technology",,
"Manager, Eu Operations",,
QA Officer/Safety Officer at Diatherix,,
Regional Quality Assurance,,
Print Production Specialist and Senior Designer,,
RPO Coordinator,,
Information Technology Officer,,
"Supervising Scientist, Stem Cell Lab",,
Tpm,,
"Manager, Quality and Design Control",,
Micro Biologics Production engineer.,,
Data Quality Specialist,,
Bookkeeper,,
"Manager, Quality, Health & Safety",,
"Group Manager, Quality",,
"Manager, Quality Unit",,
Group Chief Executive Officer,,
Senior Software Engineer,,
"Director, Project Management",,
NMD Quality and Systems Manager,,
Quality Head/ Director,,
Quality Assurance & Continuous Improvement Manager,,
"Manager, Project Quality",,
Quality Management Associate and Director,,
Clinical Research Project Manager,,
Gmp Manufacturing Coordinator,,
Lead Data Modeler,,
Quality and Process Manager,,
Member Services,,
Senior Automation Global Ot Lead Global Operational Technology and Digitialization Systems Engineer,,
General Manager Finance,,
"Project Manager, ERP",,
Head of Software,,
Director Of Products,,
Country Manager,,
Senior Coordinator,,
QA Technologist,,
Business Owner,,
Engineer Manager.,,
Engineer/ Quality Control,,
"Digital Pfizer Global Supply, ACD, and SAP Digital Manufacturing",,
Quality Continuous Improvement Manager,,
"Director, Factory Operations",,
"Manager, Quality Systems & Compliance",,
Lab Test Technician,,
Director Quality Control /   Quality Assurance (Contract Manufacturing),,
Data Analyst,,
Private Public Safety,,
Manufacturing Associate II,,
Corporate Secretary,,
QA QA Executive and QC Cum Administrator,,
Principle Partner,,
Manufacturing Specialist,,
"Manager, Food Safety",,
Regulatory Support Quality Technician,,
Head of HSQE,,
Account Executive,,
Business Analyst,,
Security Compliance Officer,,
QC Coordinator,,
"Vice President, Quality & Regulatory",,
Sr. Manager of Quality Management and Registration,,
QA/QC Specialist,,
"Senior Director, CMC Quality Assurance, Product Quality",,
"Associate Director, Computer System Validation",,
Co-Founder and CEO,,
Partner,,
Senior QA and Regulatory Affairs Manager,,
Lead Project Environmental Health & Safety Controller,,
Corporate Quality Manager,,
General Manager-Mildura,,
"Manager, Construction",,
"Vice President, Clinical Operations",,
"Senior Manager, Engagement",,
Regulatory Affairs Associate,,
"Manager, Engineering & Production",,
"Global Head, Business Unit Plastic Welding",,
Governance Compliance Officer,,
Director of Manufacturing Science & Technology (MSAT,,
QA responsible person,,
"Clinical Research, Site Operations Coordinator",,
"Henkel Consumer Brands, Supply Chain Head of Data & Analytics",,
Plm & Digitization Specialist,,
Manager of Documentation and Database Management System,,
"Senior Manager, R&D Optimization",,
"Manager, Purchasing",,
"Director, Drug Development, Regulatory Strategy and Product Development",,
"Director, Nursing",,
Mechanical Engineer 1,,
Technical Writer,,
"Manager, Project Management Office",,
Domain Specialist,,
"Manager, Engineering Merlin Circuit Technology",,
"Director, Purification and Analytics",,
CMC/Safety Toxicologist,,
"Digital Transformation Leader, GMO",,
Director of Business Administration,,
Logistics Manager,,
Quality Intervention,,
Quality Systems Program Manager,,
Quality Systems Specialist,,
"Director, Quality and Continuous Improvement",,
Quality System Engineer,,
Information Systems Manager,,
Manufacturing Team Lead,,
DGM-Technology Transfer,,
Principal Consultant and Trainer,,
Electronic Document Management System Specialist,,
Industrial Project Specialist | Industrial-Packaging .,,
Project Management,,
"Head of Quality, Health, Safety and Environment",,
Production Head,,
Director Supplier Quality,,
Snr Manager Sales,,
"Engineer, Associate",,
Basic  Policy Sop template,,
Principal Manager-Qualified Person,,
Quality Control in Pharmacetual Industry,,
Sr. Stability Scientist,,
Biomechanical engineer,,
Information Technology Quality Assurance Manager,,
"Director, Clinical Operations",,
"Founder, Articon (USA)",,
Aseptic Pharma Manufacturing Production Associate,,
Founder/Advisor,,
Quality Document Specialist,,
IBM Software BISO,,
Ms,,
"Ventures, PayPal",,
QC Supervisor,,
Digital Innovation & Technology Lead,,
"Senior Director, Operations",,
"Joseph Ramlow 1st Director, Employee Experience - Digital Business Engagement at Molex",,
Global Digital Solution Business Partner Lead,,
QARA-Manager,,
Manufacturing and QA Head,,
"Manager, Process Automation",,
Founder and Chief Operating Officer,,
Clinical Research Monitor,,
"Manager, Product Marketing",,
"Expect of Qualification, clean rooms, water system.",,
"Systems, IT Manager",,
Sales Person,,
Manager II Quality Systems,,
Document and Support Management Systems Specialist,,
Regulatory Affairs Executive (QA),,
"Vice President, Solutions",,
Process and Quality Engineer,,
Teller,,
Software Quality Assurance Tester,,
Quality and Assurance Specialist,,
Head of Preclinical Biology,,
"Director, Transformation & Project Management, GBS Sourcing & Enterprise Services",,
Quality Systems Responsible,,
Associate Director QA Medical Device,,
Lead Physicist,,
Owner of the Company,,
Quality Documentation Specialist,,
Surgical Technologist,,
Jasper Dicker - Managing Director,,
