acct primary site function,acct manufacturing model,acct target industry,contact/lead title,QAL ID,contact/lead id,next_stage__c,Priority,acct territory rollup,acct tier rollup,solution,solution_rollup,last tactic campaign channel,qal cohort date
Generics manufacturing,In-House,Pharma & BioTech,,a0dPQ000000ALcfYAG,0033t00004OrEFOAA3,Recycled,Priority 2,APAC & Oceania,Medium,MISSING/BLANK,Qx,SEO,2024-01-22
Specialty Chemical Manufacturing,In-House,Non-Life Science,Manufacturing Engineer,a0d3t00000kolngAAA,0033t00004OrLJDAA3,SQL,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-01-19
,,Non-Life Science,Senior Andrologist Bsc Msc,a0dPQ000000ALzFYAW,0033t00004OrLKaAAN,Recycled,Priority 1,EMEA,Small,Quality,Qx,SEO,2024-01-22
Non-manufacturing organization,Outsources Manufacturing,Non-Life Science,Project manager / Quality Assurance Manager,a0dPQ000000BD6nYAG,0033t00004OrM9nAAF,SQL,No Priority,EMEA,Small,Qx,Qx,SEO,2024-01-24
,,Pharma & BioTech,,a0dPQ000000NzCTYA0,0033t00004OrM9sAAF,Recycled,Priority 2,APAC & Oceania,Small,Manufacturing,Mx,Email,2024-02-23
Drug discovery & development,CDMO,Pharma & BioTech,,a0d3t00000konunAAA,0033t00004OrMD6AAN,Recycled,Priority 2,Americas,Large,Mx,Mx,Online Ads,2024-01-19
Dental instruments,In-House,Medical Device,Director of Quality,a0d3t00000komIDAAY,0033t00004OrMqhAAF,Recycled,No Priority,Americas,Medium,MISSING/BLANK,Qx,MISSING/BLANK,2024-01-19
,,Pharma & BioTech,"Manager, Medical Adiministration",a0dPQ000000AEWLYA4,0033t00004OrOiYAAV,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Online Ads,2024-01-22
Specialty Chemical Manufacturing,In-House,Non-Life Science,"Manager, Engineering Controls and Electrical",a0dPQ000000AYoPYAW,0033t00004OrPE0AAN,SQO,Priority 2,Americas,Medium,Mx,Mx,Online Ads,2024-01-22
,,Medical Device,,a0dPQ000000APQ9YAO,0033t00004OrQFRAA3,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2024-01-22
,,Non-Life Science,,a0dPQ000000ALeHYAW,0033t00004OrSn7AAF,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Online Ads,2024-01-22
,,Non-Life Science,,a0dPQ000000AOInYAO,0033t00004OrZTtAAN,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2024-01-22
,,Non-Life Science,President,a0dPQ000000APA1YAO,0033t00004Orbp3AAB,Recycled,Priority 1,Americas,Small,MISSING/BLANK,Qx,SEO,2024-01-22
"Cell therapies (CAR-T, NK)",CDMO,Pharma & BioTech,"Manager, Component Production Laboratory",a0dPQ000007mffxYAA,0033x00002yGgchAAC,Recycled,No Priority,Americas,Medium,MISSING/BLANK,Qx,MISSING/BLANK,2025-08-16
Biologic API,CDMO,Pharma & BioTech,Consultant,a0d3t00000knYO3AAM,0033x00002yHNO6AAO,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-01-04
Biologic API,CDMO,Pharma & BioTech,Consultant,a0dPQ000000KWtNYAW,0033x00002yHNO6AAO,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-15
Nutraceutical manufacturing,CMO,Pharma & BioTech,"Director, Quality Systems",a0dPQ000001NIdBYAW,0033x00002yHOBrAAO,Recycled,Priority 1,Americas,Medium,Qx,Qx,Direct/Inbound,2024-08-05
Sterile injectables,503A,Pharma & BioTech,CTO,a0dPQ000001GEw5YAG,0033x00002yHOUeAAO,Recycled,Priority 2,Americas,Medium,Qx,Qx,Outbound Prospecting,2024-07-18
Non-manufacturing organization,Services / Consulting,Non-Life Science,CTO,a0dPQ000000ZveXYAS,0033x00002yH9LbAAK,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2024-03-25
Implantable devices,Outsources Manufacturing,Medical Device,Vice President Operations,a0dPQ000004TiD3YAK,0033x00002yHh1nAAC,Recycled,Priority 2,Americas,Medium,Qx,Qx,External Demand Gen,2025-05-13
"Viral vector manufacturing (AAV, LV)",In-House,Blood & Biologics,Director  Of Manufacturing,a0dPQ000002a4jtYAA,0033x00002yHKAMAA4,Exclude,P1 - Webinar Demo,Americas,Large,Mx,Mx,Direct/Inbound,2024-12-20
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Dr,a0dPQ000000EbkTYAS,0033x00002yHKehAAG,Recycled,Priority 2,EMEA,Large,Quality,Qx,Email,2024-02-01
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Dr,a0dPQ000003gDS9YAM,0033x00002yHKehAAG,Recycled,Priority 2,EMEA,Large,Qx,Qx,Email,2025-02-25
,,Pharma & BioTech,Perf Impvmnt Abstractor,a0dPQ000001XZPqYAO,0033x00002yHqfmAAC,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2024-08-26
,,Pharma & BioTech,Perf Impvmnt Abstractor,a0dPQ000003o3PBYAY,0033x00002yHqfmAAC,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2025-03-05
Diagnostic Equipment,In-House,Medical Device,"Sr. Director, Quality Affairs",a0dPQ0000022q9RYAQ,0033x00002yHRVZAA4,Recycled,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-10-22
"Cell therapies (CAR-T, NK)",In-House,Pharma & BioTech,Plant Engineer,a0dPQ000000YlpJYAS,0033x00002yI5gcAAC,Recycled,Priority 2,Americas,Large,Mx,Mx,Email,2024-03-21
Implantable devices,In-House,Medical Device,"Vice President, Regulatory Affairs and QA",a0dPQ000001jY8DYAU,0033x00002yI7LjAAK,,Priority 2,Americas,Medium,Mx,Mx,Email,2024-09-19
Radiopharmaceuticals,In-House,Pharma & BioTech,Senior Director Quality Assurance,a0dPQ000001qvRRYAY,0033x00002yHrXWAA0,Recycled,Priority 1,Americas,Medium,Mx,Mx,SEO,2024-10-04
Non-manufacturing organization,Distribution / Wholesale,Pharma & BioTech,"Quality Engineer, Team Lead",a0dPQ000004KVgTYAW,0033x00002yIICfAAO,Recycled,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,External Demand Gen,2025-04-28
,,Non-Life Science,,a0d3t00000knTf0AAE,0033x00002yIIlJAAW,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2024-01-03
Oral solid dosage (OSD),Not Enough Info Found,Pharma & BioTech,Quality,a0dPQ000003lCaHYAU,0033x00002yHuIzAAK,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-02-28
Non-manufacturing organization,Distribution / Wholesale,Medical Device,Vice President - National Telesales Operations,a0dPQ000004pXpFYAU,0033x00002yHwQXAA0,Recycled,Priority 2,Americas,Large,Mx,Mx,External Demand Gen,2025-05-28
Gene therapies,In-House,Pharma & BioTech,Production Manager,a0dPQ000004pSsoYAE,0033x00002yIM4lAAG,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-05-28
"Viral vector manufacturing (AAV, LV)",In-House,Medical Device,Executive Director Head of Regulatory Affairs Digital Info and Ops,a0dPQ000004pCb8YAE,0033x00002yI3EcAAK,Recycled,Priority 2,Americas,Medium,Qx,Qx,External Demand Gen,2025-05-28
,,Non-Life Science,Quality Manager,a0dPQ000000KWq9YAG,0033x00002yI5k5AAC,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-15
,,Non-Life Science,Quality Manager,a0dPQ000000bBHRYA2,0033x00002yI5k5AAC,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-03-28
Nutraceutical manufacturing,CMO,Pharma & BioTech,Director of Operations,a0dPQ000005Ke02YAC,0033x00002yI8xgAAC,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-06-11
Sterile injectables,In-House,Medical Device,Associate Director - Manufacturing Sciences and Technology,a0dPQ000004qbFhYAI,0033x00002yI9YiAAK,Recycled,Priority 2,Americas,Large,Mx,Mx,External Demand Gen,2025-05-28
,,Blood & Biologics,Vice President Qualitymanagement and Technical Service,a0dPQ000000KWrlYAG,0033x00002yIIPJAA4,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-15
Generics manufacturing,CMO,Pharma & BioTech,"Director, Solids Manufacturing and MES",a0dPQ000002RnBpYAK,0033x00002yIKhXAAW,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2024-12-04
Generics manufacturing,503B,Pharma & BioTech,Manager of Quality Assurance Documentation,a0dPQ0000023vi9YAA,0033x00002yILWuAAO,Recycled,Priority 1,Americas,Medium,MISSING/BLANK,Qx,Referrals,2024-10-23
Radiopharmaceuticals,In-House,Pharma & BioTech,Manufacturing and Quality Systems Director,a0dPQ000003z32TYAQ,0033x00002yILbHAAW,Recycled,Priority 2,Americas,Medium,Logbooks,Mx,External Demand Gen,2025-03-24
Non-manufacturing organization,Not Enough Info Found,Medical Device,Vice President/Executive Director,a0dPQ000000Jvx3YAC,0033x00002yJW3oAAG,Lost,No Priority,Americas,Medium,Qx,Qx,Outbound Prospecting,2024-02-14
,,Pharma & BioTech,Training Consultant,a0dPQ000000BuAGYA0,0033x00002yIR1OAAW,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-25
,,Pharma & BioTech,Training Consultant,a0dPQ000000mb8XYAQ,0033x00002yIR1OAAW,Recycled,Priority 2,Americas,Medium,Quality,Qx,Email,2024-04-30
Oral solid dosage (OSD),CDMO,Pharma & BioTech,VP,a0dPQ000002CpiLYAS,0033x00002yJXJqAAO,Recycled,No Priority,Americas,Medium,Platform,Qx,Email,2024-11-08
Oral solid dosage (OSD),CDMO,Pharma & BioTech,VP,a0dPQ0000046jzRYAQ,0033x00002yJXJqAAO,Recycled,Priority 2,Americas,Medium,Logbooks,Mx,Email,2025-04-05
Generics manufacturing,In-House,Pharma & BioTech,"Head Regulatory, UK",a0dPQ000000DyMXYA0,0033x00002yIcm0AAC,Recycled,No Priority,Americas,Large,Qx,Qx,Online Ads,2024-01-31
,,Medical Device,,a0dPQ000003kmpVYAQ,0033x00002yIcn8AAC,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2025-02-28
Diagnostic Equipment,In-House,Medical Device,IT QMS Software Administrator,a0dPQ000004dbBtYAI,0033x00002yId6xAAC,Recycled,P1 - Live Demo,EMEA,Medium,Mx,Mx,Email,2025-05-22
,,Medical Device,Sr. Regulatory Affairs Engineering Consultant,a0dPQ000000NacHYAS,0033x00002yIgA7AAK,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-02-22
Surgical instruments,In-House,Medical Device,Global Product Information Security Officer,a0dPQ000000u0q9YAA,0033x00002yJxdBAAS,Recycled,Priority 2,Americas,Small,Mx,Mx,External Demand Gen,2024-05-21
,,Medical Device,Chair of Advisory Panel,a0dPQ000000NgwDYAS,0033x00002yK0dMAAS,Recycled,Priority 2,EMEA,Small,Mx,Mx,Online Ads,2024-02-22
Blood and Plasma-related products,In-House,Pharma & BioTech,Head of Quality Control,a0dPQ000002Smi5YAC,0033x00002yK34BAAS,Recycled,P1 - Webinar Demo,EMEA,Medium,Qx,Qx,External Demand Gen,2024-12-06
Cell banking,In-House,Pharma & BioTech,Production/Operations Manager,a0dPQ000005ZHmKYAW,0033x00002yK5l0AAC,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-06-17
Biologic API,CDMO,Pharma & BioTech,ctc,a0dPQ000000Eb6AYAS,0033x00002yK9EzAAK,Recycled,Priority 2,EMEA,Small,Quality,Qx,Email,2024-02-01
Dental instruments,In-House,Medical Device,Senior Vice President Regulatory Affairs & Quality Assurance,a0dPQ000007725tYAA,0033x00002yKCCYAA4,Recycled,Priority 2,Americas,Large,Mx,Mx,SEO,2025-07-29
Blood and Plasma-related products,In-House,Pharma & BioTech,Director of Manufacturing,a0dPQ000005h6NYYAY,0033x00002yJNREAA4,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Directory Listing,2025-06-20
,,Medical Device,VP of Quality Initiatives,a0dPQ000000eGR3YAM,0033x00002yJNbiAAG,Recycled,No Priority,Americas,Medium,Qx,Qx,External Demand Gen,2024-04-05
Biologic API,In-House,Medical Device,Associate Director Global Engineering Quality - Facilities Utilities and Equipment (FUE),a0dPQ000000S6dZYAS,0033x00002yKFDKAA4,Recycled,Priority 2,EMEA,Medium,Mx,Mx,Online Ads,2024-03-04
,,Pharma & BioTech,Quality Assurance Manager,a0dPQ000002N5c9YAC,0033x00002yJWm3AAG,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2024-11-25
Radiopharmaceuticals,In-House,Pharma & BioTech,Quality Systems Manager,a0dPQ000004rCS9YAM,0033x00002yJenZAAS,Recycled,P1 - Live Demo,APAC & Oceania,Medium,Ax,Qx,Outbound Prospecting,2025-05-29
Diagnostic Equipment,In-House,Medical Device,Sr Principal Quality Manufacturing Engineer,a0dPQ000000XlEfYAK,0033x00002yJgHLAA0,Exclude,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-03-19
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Director of Formulation and Manufacturing Development,a0dPQ0000014uELYAY,0033x00002yKmZ4AAK,Recycled,Priority 1,Americas,Medium,Mx,Mx,Direct/Inbound,2024-06-20
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Director of Formulation and Manufacturing Development,a0dPQ0000057EwEYAU,0033x00002yKmZ4AAK,Recycled,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,External Demand Gen,2025-06-05
Not Enough Info Found,Consumer Packaged Goods,Non-Life Science,Operations Manager,a0dPQ000003sbKDYAY,0033x00002yKmtTAAS,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Direct/Inbound,2025-03-12
,,Pharma & BioTech,COO / CEO,a0d3t00000koQSsAAM,0033x00002yJnlpAAC,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-01-15
,,Pharma & BioTech,COO / CEO,a0dPQ000000LHkDYAW,0033x00002yJnlpAAC,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-16
Non-manufacturing organization,Not Enough Info Found,Pharma & BioTech,Director,a0dPQ000000NibRYAS,0033x00002ymh5FAAQ,Recycled,Priority 2,Americas,Large,MISSING/BLANK,Qx,Email,2024-02-22
,,Pharma & BioTech,Research Director,a0dPQ000000DzaLYAS,0033x00002yK5saAAC,Recycled,Priority 2,EMEA,Large,Quality,Qx,Email,2024-01-31
Lab Instruments,In-House,Medical Device,"Principal Product Marketing Manager, Global Product Marketing",a0dPQ000000NekjYAC,0033x00002yK9JlAAK,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-02-22
Not Enough Info Found,CMO,Medical Device,"Manager, Quality Assurance",a0dPQ000001QRiLYAW,0033x00002yn6xCAAQ,SQL,Priority 1,APAC & Oceania,Medium,Quality,Qx,SEO,2024-08-12
Animal Health,In-House,Pharma & BioTech,Quality Systems Supervisor,a0dPQ0000026JgLYAU,0033x00002ymb3SAAQ,SQL,Priority 1,Americas,Medium,Mx,Mx,Online Ads,2024-10-28
Enzymes,In-House,Non-Life Science,Scientist,a0dPQ0000015XSbYAM,0033x00002ynRtwAAE,Recycled,Priority 1,Americas,Large,Qx,Qx,Email,2024-06-21
Dental instruments,In-House,Medical Device,QA Manager,a0dPQ000000NhvVYAS,0033x00002ynUM6AAM,Recycled,Priority 2,Americas,Medium,Manufacturing,Mx,Email,2024-02-22
Dental instruments,In-House,Medical Device,QA Manager,a0dPQ000000dpdlYAA,0033x00002ynUM6AAM,Recycled,Priority 2,Americas,Medium,Manufacturing,Mx,Email,2024-04-04
Sterile injectables,In-House,Medical Device,Head Of Quality Assurance LIFE Plant QP QP IMP,a0dPQ0000099ciPYAQ,0033x00002ynWiHAAU,Recycled,Priority 2,EMEA,Medium,Qx,Qx,External Demand Gen,2025-09-24
,,Non-Life Science,,a0dPQ000000KWwbYAG,0033x00002ymwqoAAA,Recycled,Priority 2,EMEA,Large,Qx,Qx,Email,2024-02-15
Gene therapies,In-House,Pharma & BioTech,Consultant,a0dPQ000000NWonYAG,0033x00002ynaqdAAA,Recycled,Priority 2,Americas,Medium,Quality,Qx,Email,2024-02-22
Metered-dose inhaler (MDI),In-House,Medical Device,Senior MasterControl Specialist,a0dPQ00000B4HATYA3,0033x00002yndVzAAI,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2025-10-30
Surgical instruments,In-House,Medical Device,,a0dPQ000000AVQjYAO,0033x00002yneK0AAI,Recycled,No Priority,Americas,Medium,Qx,Qx,Online Ads,2024-01-22
,,Non-Life Science,Quality Manager,a0dPQ000000OF17YAG,0033x00002ynrSMAAY,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-02-23
Generics manufacturing,In-House,Pharma & BioTech,Director  Operations,a0dPQ000004KzwHYAS,0033x00002ynx25AAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-04-29
Nutraceutical manufacturing,In-House,Pharma & BioTech,"Director, North America Manufacturing",a0dPQ000004p78UYAQ,0033x00002yo0qxAAA,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-05-28
Oral solid dosage (OSD),CMO,Pharma & BioTech,Director Quality,a0dPQ000000CLDZYA4,0033x00002yncJGAAY,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2024-01-26
,,Medical Device,Technical Director,a0dPQ000008PFSHYA4,0033x000030kjcmAAA,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2025-09-04
3D-printed implants,In-House,Medical Device,Regulatory Affairs Project Manager,a0dPQ000000D7jdYAC,0033x000030kpbwAAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-29
3D-printed implants,In-House,Medical Device,Regulatory Affairs Project Manager,a0dPQ00000BnQfyYAF,0033x000030kpbwAAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-11-06
Non-manufacturing organization,Distribution / Wholesale,Medical Device,Sr. Associate Quality Engineer,a0dPQ000002221NYAQ,0033x00002ynqL0AAI,Recycled,Priority 2,Americas,Large,Qx,Qx,Referrals,2024-10-21
Diagnostic Equipment,Original Equipment Manufacturing,Medical Device,Regulatory Affairs Specialist,a0dPQ00000D7owfYAB,0033x000030lXIsAAM,SQL,Other,Japan,Medium,Mx,Mx,Direct/Inbound,2025-11-21
Small-molecule API,CDMO,Pharma & BioTech,Dr,a0dPQ000004PPlhYAG,0033x00002ynxicAAA,Recycled,Priority 2,EMEA,Medium,Qx,Qx,SEO,2025-05-06
Non-manufacturing organization,Software / Technology Development,Non-Life Science,Vice President - Operations & Quality,a0dPQ000000Nn01YAC,0033x00002ynybBAAQ,Recycled,Priority 2,Americas,Medium,Platform,Qx,Email,2024-02-22
Non-manufacturing organization,Software / Technology Development,Non-Life Science,Vice President - Operations & Quality,a0dPQ000003DDSLYA4,0033x00002ynybBAAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-02-05
In-vitro diagnostic (IVD) kits,Outsources Manufacturing,Medical Device,"Director, Quality Assurance & Regulatory Affairs",a0dPQ000003nk81YAA,0033x000030lkH8AAI,SQL,Priority 2,APAC & Oceania,Small,Mx,Mx,External Demand Gen,2025-03-05
PCR / molecular diagnostics,In-House,Medical Device,Site Director Manufacturing Operations,a0dPQ000002GaWDYA0,0033x000031RuOdAAK,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-14
PCR / molecular diagnostics,In-House,Medical Device,Site Director Manufacturing Operations,a0dPQ000005Vg1jYAC,0033x000031RuOdAAK,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Directory Listing,2025-06-16
Specialty Chemical Manufacturing,In-House,Medical Device,,a0dPQ000002l19BYAQ,0033x000030kUWfAAM,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,SEO,2025-01-15
Implantable devices,In-House,Medical Device,Quality Manger,a0dPQ000003ppQ9YAI,0033x000030kxybAAA,Recycled,No Priority,Americas,Medium,Qx,Qx,Outbound Prospecting,2025-03-07
Oral solid dosage (OSD),In-House,Medical Device,Medical Device Quality Manager,a0dPQ000000NLwcYAG,0033x000031SBkqAAG,Recycled,Priority 2,EMEA,Medium,Quality,Qx,Email,2024-02-22
Tissue products,In-House,Medical Device,Quality Systems Engineer,a0dPQ000007biEBYAY,0033x000031SD28AAG,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-08-12
Single-use disposables,Consumer Packaged Goods,Medical Device,"Vice President, Quality Assurance & Regulatory Affairs",a0dPQ000002gMfhYAE,0033x000030lGbGAAU,Recycled,P1 - Video Demo,EMEA,Large,Qx,Qx,Online Ads,2025-01-08
Non-manufacturing organization,Software / Technology Development,Pharma & BioTech,Quality Assurance Coordinator,a0dPQ000004lPVJYA2,0033x000030lKJsAAM,Recycled,Priority 2,EMEA,Small,Qx,Qx,SEO,2025-05-27
Nutraceutical manufacturing,CMO,Pharma & BioTech,VP of Operations,a0dPQ000000QkC5YAK,0033x000031SIOdAAO,SQL,Priority 2,Americas,Medium,Mx,Mx,Email,2024-02-28
Blood and Plasma-related products,In-House,Blood & Biologics,"Director, Data Science and Digital Transformation",a0dPQ000002TgnVYAS,0033x000030lbS5AAI,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-09
,,Medical Device,Vice President of Quality,a0dPQ000002E9QTYA0,0033x000030lbaoAAA,Recycled,Priority 2,Americas,Medium,Platform,Qx,External Demand Gen,2024-11-11
Diagnostic Equipment,In-House,Medical Device,Analyst,a0dPQ000003y7JRYAY,0033x000030lhm9AAA,Recycled,P1 - Contact Us,Americas,Medium,Regulatory,Qx,Direct/Inbound,2025-03-21
Biologic API,In-House,Pharma & BioTech,Director of Operations,a0dPQ000005dOQzYAM,0033x000031S5ijAAC,Recycled,P1 - Webinar Demo,Americas,Large,Logbooks,Mx,External Demand Gen,2025-06-18
Lab Instruments,In-House,Medical Device,BUS DEV MGR,a0dPQ000001XeCbYAK,0033x000031SjDWAA0,Recycled,Priority 1,Americas,Medium,Mx,Mx,Online Ads,2024-08-26
Oral solid dosage (OSD),CDMO,Pharma & BioTech,"Director, Production",a0dPQ000001FQmPYAW,0033x000031SpDtAAK,SQL,Priority 2,Americas,Medium,Mx,Mx,Outbound Prospecting,2024-07-17
Combination products,CDMO,Pharma & BioTech,Quality Manager,a0dPQ000001VPnxYAG,0033x000031SDHMAA4,Recycled,Priority 1,Americas,Medium,Qx,Qx,External Demand Gen,2024-08-21
Generics manufacturing,CMO,Pharma & BioTech,Vice President Information Technology,a0dPQ000004LvU1YAK,0033x000031SJHnAAO,Recycled,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,External Demand Gen,2025-04-30
,,Non-Life Science,Manager,a0dPQ000000KWoXYAW,0033x000031T6h7AAC,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-15
Oral solid dosage (OSD),CMO,Blood & Biologics,Vice President Manufacturing,a0dPQ000002ESmTYAW,0033x000031T6wHAAS,Recycled,Priority 2,Americas,Medium,Quality,Qx,External Demand Gen,2024-11-11
Oral solid dosage (OSD),CMO,Blood & Biologics,Vice President Manufacturing,a0dPQ000004KcgMYAS,0033x000031T6wHAAS,Recycled,Priority 2,Americas,Medium,Qx,Qx,External Demand Gen,2025-04-28
Implantable devices,In-House,Medical Device,VP,a0dPQ000001noEPYAY,0033x000031SWleAAG,Recycled,No Priority,Americas,Small,MISSING/BLANK,Qx,Outbound Prospecting,2024-09-27
,,Non-Life Science,,a0dPQ000000AVKHYA4,0033x000031TLV7AAO,Recycled,No Priority,Americas,Medium,Qx,Qx,Email,2024-01-22
Medical gas,In-House,Pharma & BioTech,Qualified Person,a0dPQ000001xB6vYAE,0033x000031SowFAAS,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-10-10
Medical gas,In-House,Pharma & BioTech,Qualified Person,a0dPQ000003g2QIYAY,0033x000031SowFAAS,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2025-02-25
Medical gas,In-House,Pharma & BioTech,Qualified Person,a0dPQ0000045CB7YAM,0033x000031SowFAAS,Recycled,P1 - Webinar Demo,EMEA,Medium,Logbooks,Mx,Email,2025-04-03
Animal Health,CMO,Pharma & BioTech,Global Head Quality,a0d3t00000koitcAAA,0033x000031Y4IkAAK,Lost,Priority 2,EMEA,Medium,Qx,Qx,External Demand Gen,2024-01-19
Food and beverage,In-House,Non-Life Science,Director of Food Safety and Compliance,a0dPQ000001YYZlYAO,0033x000031Y6hqAAC,SQL,Priority 1,Americas,Medium,Qx,Qx,Email,2024-08-27
,,Unknown,President,a0dPQ0000014dS1YAI,0033x000031TCE4AAO,Recycled,Priority 1,Americas,Other,Qx,Qx,Online Ads,2024-06-20
Implantable devices,Original Equipment Manufacturing,Medical Device,"Director, Quality",a0dPQ000002hjFFYAY,0033x000031YEEGAA4,SQL,P1 - Contact Us,Americas,Medium,MISSING/BLANK,Qx,SEO,2025-01-10
,,Non-Life Science,"Vice President, Operations",a0dPQ000001427VYAQ,0033x000031THXhAAO,Recycled,Priority 1,Americas,Medium,Qx,Qx,Email,2024-06-18
Non-manufacturing organization,CRO,Medical Device,Quality Manager,a0dPQ0000047XcrYAE,0033x000031ZswCAAS,SQO,Priority 2,Americas,Large,Logbooks,Mx,Outbound Prospecting,2025-04-07
Ophthalmic sterile drops,CMO,Pharma & BioTech,Head of QM/QS,a0dPQ0000026W7JYAU,0033x000031XcaeAAC,SQL,Priority 1,EMEA,Medium,Manufacturing,Mx,SEO,2024-10-29
Wearable health monitors,In-House,Medical Device,SVP,a0dPQ000002FUuHYAW,0033x000032OnE7AAK,Recycled,Priority 1,Americas,Small,Mx,Mx,Online Ads,2024-11-12
,,Pharma & BioTech,Dipl.Informatiker,a0dPQ000000KPK1YAO,0033x000032Or3iAAC,Recycled,Priority 2,EMEA,Small,Mx,Mx,Email,2024-02-15
,,Non-Life Science,Associate,a0dPQ000003nuddYAA,0033x000031YADPAA4,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2025-03-05
Small-molecule API,In-House,Medical Device,Sr Project Manager EMEA Phama Support,a0dPQ000000KWmvYAG,0033x000031YDrbAAG,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2024-02-15
Non-manufacturing organization,Not Enough Info Found,Pharma & BioTech,Digital Transformation Consultant,a0dPQ000000EbVxYAK,0033x000031ZvJbAAK,Recycled,Priority 2,EMEA,Medium,Platform,Qx,Email,2024-02-01
